category,title,url,pages,words,outcome,reason
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ76/pdf/PLAW-118publ76.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ76/pdf/PLAW-118publ76.pdf,2,573,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ75/pdf/PLAW-118publ75.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ75/pdf/PLAW-118publ75.pdf,1,188,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ74/pdf/PLAW-118publ74.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ74/pdf/PLAW-118publ74.pdf,2,583,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ73/pdf/PLAW-118publ73.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ73/pdf/PLAW-118publ73.pdf,1,207,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ72/pdf/PLAW-118publ72.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ72/pdf/PLAW-118publ72.pdf,1,214,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ71/pdf/PLAW-118publ71.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ71/pdf/PLAW-118publ71.pdf,12,4142,skip,too short (12p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ70/pdf/PLAW-118publ70.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ70/pdf/PLAW-118publ70.pdf,5,1739,skip,too short (5p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ7/pdf/PLAW-118publ7.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ7/pdf/PLAW-118publ7.pdf,1,225,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ69/pdf/PLAW-118publ69.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ69/pdf/PLAW-118publ69.pdf,2,316,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ68/pdf/PLAW-118publ68.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ68/pdf/PLAW-118publ68.pdf,2,537,skip,too short (2p < 15)
acts,Fire Grants and Safety Act of 2023,https://www.govinfo.gov/content/pkg/PLAW-118publ67/pdf/PLAW-118publ67.pdf,36,15207,kept,
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ66/pdf/PLAW-118publ66.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ66/pdf/PLAW-118publ66.pdf,4,1503,skip,too short (4p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ65/pdf/PLAW-118publ65.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ65/pdf/PLAW-118publ65.pdf,4,1447,skip,too short (4p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ64/pdf/PLAW-118publ64.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ64/pdf/PLAW-118publ64.pdf,4,1243,skip,too short (4p < 15)
