title,category,source_org,url,year,pages,words,local_path,sha256
SBIR and STTR Extension Act of 2022,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-117publ183/pdf/PLAW-117publ183.pdf,,17,7208,dataset\acts\sbir_and_sttr_extension_act_of_2022.pdf,643d28b2f625b5986338558c4e6f718e24f5d717a626c5db9831692226fb5415
Sergeant First Class Heath Robinson Honoring our Promise to Address Comprehensive Toxics Act of 2022,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-117publ168/pdf/PLAW-117publ168.pdf,,59,27601,dataset\acts\conceding_our_veterans.pdf,9fbe0d4c4b8ca7f1ddeb5330c8f39b60cceb13cb411a9c40c86818e2b0ddcdf4
Bipartisan Safer Communities Act,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-117publ159/pdf/PLAW-117publ159.pdf,,32,14365,dataset\acts\bipartisan_safer_communities_act.pdf,eb4da0ff6b95f48bde14cc8a6be738f819029612db4830af8849984ec686517c
Ocean Shipping Reform Act of 2022,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-117publ146/pdf/PLAW-117publ146.pdf,,16,6786,dataset\acts\ocean_shipping_reform_act_of_2022.pdf,651a16ffec02155eb9f01398ddc9dd71d86fcfcd5dd68eb6128dfbf139e9ffe8
Postal Service Reform Act of 2022,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-117publ108/pdf/PLAW-117publ108.pdf,,27,12422,dataset\acts\postal_service_reform_act_of_2022.pdf,7e4283c4c1dabe2052699c5525f3f606251e84de77ea93638883332bc88bc3c0
"Continuing Appropriations Act, 2020, and Health Extenders Act of 2019",acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-116publ59/pdf/PLAW-116publ59.pdf,,17,7641,dataset\acts\continuing_appropriations_act_2020_and_health_extenders_act_of_2019.pdf,e5590207793e519251125671926975e8c20a7a7cd7880527c7a68c1749de684c
Coordinated Ocean Observations and Research Act of 2020,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-116publ271/pdf/PLAW-116publ271.pdf,,18,7224,dataset\acts\coordinated_ocean_observations_and_research_act_of_2020.pdf,e06f6dc918ee82a757346368e26c71c7c1ee35ee8f17984ec69f68f5eacfab9c
National Oceanic and Atmospheric Administration Commissioned Officer Corps Amendments Act of 2020,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-116publ259/pdf/PLAW-116publ259.pdf,,29,12729,dataset\acts\public_law_116_259.pdf,ae0a0eed22cf78d92b32bf3456170d1fcb1686ae46cb344318153683d7007886
Taxpayer First Act,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-116publ25/pdf/PLAW-116publ25.pdf,,37,16341,dataset\acts\taxpayer_first_act.pdf,f7354532ff17efbe7ad6081f5837ebbf48ab654affd6ae4c354fe4af7cd52d70
Save Our Seas 2.0 Act,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-116publ224/pdf/PLAW-116publ224.pdf,,27,11048,dataset\acts\public_law_116_224.pdf,e2b6113d457a62a73437c157a0978093713b6acaea28fa660a3d9113a10fcbef
"Veterans Comprehensive Prevention, Access to Care, and Treatment Act of 2020",acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-116publ214/pdf/PLAW-116publ214.pdf,,16,6509,dataset\acts\veterans_comprehensive_prevention_access_to_care_and_treatment_act_of.pdf,0fda9250f000b3ba3e27051e7340aea1daa368c8696a1f3bedf468eedb294092
"Additional Supplemental Appropriations for Disaster Relief Act, 2019",acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-116publ20/pdf/PLAW-116publ20.pdf,,32,14905,dataset\acts\public_law_116_20.pdf,28bb2e58fc985ccb16386b7c1f0e9995bf18a41b732f36bc4304350f1bfacbdf
"Empowering Olympic, Paralympic, and Amateur Athletes Act of 2020",acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-116publ189/pdf/PLAW-116publ189.pdf,,31,12829,dataset\acts\empowering_olympic_paralympic_and_amateur_athletes_act_of_2020.pdf,5537e8577adfc2cd7787758dfd1fca19fc54b20ccbd6d830dde996b245cbe7d6
America’s Conservation Enhancement Act,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-116publ188/pdf/PLAW-116publ188.pdf,,38,15994,dataset\acts\america.pdf,0102dbe0350e3a1ae4c836e4b79baaae0d6b11cccd9d21bfe1b87dd0055bafbf
Practical Reforms and Other Goals To Reinforce the Effectiveness of Self- Governance and Self-Determination for Indian Tribes Act of 2019,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-116publ180/pdf/PLAW-116publ180.pdf,,25,11317,dataset\acts\public_law_116_180.pdf,36778ad40902b35ecae4267f223bc9915255bede746397582f66363d339b8214
Commander John Scott Hannon Veterans Mental Health Care Improvement Act of 2019,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-116publ171/pdf/PLAW-116publ171.pdf,,55,24014,dataset\acts\commander_john_scott_hannon_veterans_mental_health_care_improvement_ac.pdf,72a827956d5ca280b2ce00b52d57f9b257004b46e3a9cbfb1acc55e3a44d0989
Nationwide Injunctions and Universal Judicial Relief One Year After Trump v. CASA,pov,Congressional Research Service,https://www.everycrsreport.com/files/2026-07-07_R49022_0668b913d1bbe05ce3a70d2b692579c72593f097.pdf,,28,14858,dataset\pov\nationwide_injunctions_and_universal_judicial_relief_one_year_after_tr.pdf,2e63a051aa656ffc612bf14f0aab51323da81ec794967720c374529d30f37d9d
Marriage Penalties and Bonuses in the Federal Tax Code,pov,Congressional Research Service,https://www.everycrsreport.com/files/2026-07-02_R49020_66e82ccdf32dc36049366a03d45e5f5fe336a7ad.pdf,,50,26962,dataset\pov\marriage_penalties_and_bonuses_in_the_federal_tax_code_everycrsreportc.pdf,8a26141153f01b3085e302f9e5fb165de51b34bf1870ccaebfcaba815be409cd
Financial Services and General Government (FSGG) FY2026 Appropriations: Overview,pov,Congressional Research Service,https://www.everycrsreport.com/files/2026-07-02_R49017_89d0a9cfb476fdad7969a12c0f683e17de8cada5.pdf,,17,6509,dataset\pov\financial_services_and_general_government_fsgg_fy2026_appropriations_o.pdf,2d91cddf531fc06ee2c47fb854341a013c9b246d0f800d19a01cbafc88944b4a
The President’s Removal Power: The Constitutional Convention and the First Congress,pov,Congressional Research Service,https://www.everycrsreport.com/files/2026-06-17_R48999_9ffd1b87d1a2c77705293996a67622d3f5894dce.pdf,,34,21528,dataset\pov\the_presidents_removal_power_the_constitutional_convention_and_the_fir.pdf,2c998c72872a822478fc1b8ae0c88276d068daa5ecce1bf29d3270bf03f37fcb
SBA’s 8(a) Business Development Program: Structure and Current Issues,pov,Congressional Research Service,https://www.everycrsreport.com/files/2026-05-15_R48190_996dfe7ae26713cdd4fc2b50206d12b3737315f0.pdf,,28,13073,dataset\pov\sbas_8a_business_development_program_structure_and_current_issues_ever.pdf,c572faca240788700de888d136a1f32184ffef3e58e4650095209af585e7bf90
Statistics on Women in National Governments Around the World,pov,Congressional Research Service,https://www.everycrsreport.com/files/2026-05-07_R45483_de37ae75e8626baa8cf9c4b8213ac4c8d544c1c5.pdf,,31,10514,dataset\pov\statistics_on_women_in_national_governments_around_the_world_everycrsr.pdf,d4b6977cd4e07a801d7cba79d04cf62b0a899afee3aca3311a9f39013f65c9fd
